db_id,jaar van uitgave,editie,display_title,nummer,uitgever,verkend,herzien,bewerkt,uitgave,bijgewerkt,opname_jaar,basis_jaar,basis,schaal,bewerker,reproductie,editie,waterstaatskaart,bijkaart_we,bijkaart_hw,exemplaren,urls,plaatskenmerk,ocn,fysieke kenmerken,notities,stempels,provenance,url,
690,1971,5,01 - TERSCHELLING WEST - bijkrt.h.w.,1,directie Waterhuishouding en Waterbeweging,,,,1971,,,,,,afdeling Waterstaatskartografie,Topografische Dienst,5,FALSE,FALSE,TRUE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vijfde_editie/01 Terschelling-West-2.jpg,-,,,,,,,
203,[1917],2,01-05 - TERSCHELLING,01-May,Top. Inrichting,,1916,1917,,,,,,Schaal van 10000 Meter,,,2,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/tweede_editie/01-05 Terschelling.jpg,-,,,,,,,
6,[1873],1,02 - SCHIERMONNIKOOG 1,2,Top. Bur.,,,1873,,,,,,Schaal van 10000 Meters,,,1,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/02 Schiermonnikoog-1.jpg,KAART: *VII*.B.a.21,920126955,randen geplastificeerd,G7301024 (volgnummer met potlood genoteerd),Geografisch Instituut Utrecht,x,http://objects.library.uu.nl/reader/index.php?obj=1874-389916&lan=en#page//38/65/73/38657330773471920250129354503387068997.jpg/mode/1up,
205,[1916],2,02 - SCHIERMONNIKOOG 1,2,Top. Inrichting,,1915,1916,,,,,,Schaal van 10000 Meter,,,2,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/tweede_editie/02 Schiermonnikoog-1.jpg,-,,,,,,,
7,[1873],1,02 - SCHIERMONNIKOOG 2,2,Top. Bur.,,,1873,,,,,,Schaal van 10000 Meters,,,1,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/02 Schiermonnikoog-2.jpg,KAART: *VII*.B.a.21,920126955,randen geplastificeerd,G7301025 (volgnummer met potlood genoteerd),Geografisch Instituut Utrecht,x,http://objects.library.uu.nl/reader/index.php?obj=1874-389916&lan=en#page//38/65/73/38657330773471920250129354503387068997.jpg/mode/1up,
206,[1917],2,02 - SCHIERMONNIKOOG 2,2,Top. Inrichting,,1916,1917,,,,,,Schaal van 10000 Meter,,,2,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/tweede_editie/02 Schiermonnikoog-2.jpg,-,,,,,,,
376,[1946],3,02 - SCHIERMONNIKOOG OOST,2,,,1946,,,,,,,,Algemeene Dienst Rijkswaterstaat,"firma P.J. Mulder en Zoon, Leiden",3,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/derde_editie/02 Schiermonnikoog-Oost.jpg,-,,,,,,,
484,1965,4,02 - SCHIERMONNIKOOG OOST,2,,,1964,,1965,,,,,,Rijkswaterstaat Directie Algemene Dienst,Topografische Dienst,4,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vierde_editie/02 Schiermonnikoog-Oost.jpg,-,,,,,,,
695,1974,5,02 - SCHIERMONNIKOOG OOST,2,directie Waterhuishouding en Waterbeweging,,1973,,1974,,,,,,afdeling Waterstaatskartografie,Topografische Dienst,5,TRUE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vijfde_editie/02 Schiermonnikoog-Oost-1.jpg,-,,,,,,,
696,1974,5,02 - SCHIERMONNIKOOG OOST - bijkrt.h.w.,2,directie Waterhuishouding en Waterbeweging,,,,1974,,,,,,afdeling Waterstaatskartografie,Topografische Dienst,5,FALSE,FALSE,TRUE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vijfde_editie/02 Schiermonnikoog-Oost-2.jpg,-,,,,,,,
697,1974,5,02 - SCHIERMONNIKOOG OOST - bijkrt.w.e.,2,directie Waterhuishouding en Waterbeweging,,,,1974,,,,,,afdeling Waterstaatskartografie,Topografische Dienst,5,FALSE,TRUE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vijfde_editie/02 Schiermonnikoog-Oost-3.jpg,-,,,,,,,
375,[1941],3,02 - SCHIERMONNIKOOG WEST,2,,,1941,,,,,,,,Alg. Dienst Rijkswaterstaat,Top. Dienst,3,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/derde_editie/02 Schiermonnikoog-West.jpg,-,,,,,,,
483,1965,4,02 - SCHIERMONNIKOOG WEST,2,,,1964,,1965,,,,,,Rijkswaterstaat Directie Algemene Dienst,Topografische Dienst,4,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vierde_editie/02 Schiermonnikoog-West.jpg,-,,,,,,,
693,1972,5,02 - SCHIERMONNIKOOG WEST,2,directie Waterhuishouding en Waterbeweging,,1972,,1972,,,,,,afdeling Waterstaatskartografie,Topografische Dienst,5,TRUE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vijfde_editie/02 Schiermonnikoog-West-1.jpg,-,,,,,,,
694,1972,5,02 - SCHIERMONNIKOOG WEST - bijkrt.h.w.,2,directie Waterhuishouding en Waterbeweging,,,,1972,,,,,,afdeling Waterstaatskartografie,Topografische Dienst,5,FALSE,FALSE,TRUE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vijfde_editie/02 Schiermonnikoog-West-2.jpg,-,,,,,,,
8,[1889],1,03 - UITHUIZEN 1,3,Top. Inrichting,1888,,1889,,,,,,Schaal van 10000 Meters,,,1,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/03 Uithuizen-1.jpg,KAART: *VII*.B.a.21,920126955,randen geplastificeerd,G7301026 (volgnummer met potlood genoteerd),Geografisch Instituut Utrecht,x,http://objects.library.uu.nl/reader/index.php?obj=1874-389916&lan=en#page//70/50/28/70502852399294639189549581558960657892.jpg/mode/1up,
207,[1917],2,03 - UITHUIZEN 1,3,Top. Inrichting,,1916,1917,,,,,,Schaal van 10000 Meter,,,2,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/tweede_editie/03 Uithuizen-1.jpg,-,,,,,,,
9,[1888],1,03 - UITHUIZEN 2,3,Top. inrichting,1887,,1888,,,,,,Schaal van 10000 Meters,,,1,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/03 Uithuizen-2.jpg,KAART: *VII*.B.a.21,920126955,randen geplastificeerd,G7301027 (volgnummer met potlood genoteerd),Geografisch Instituut Utrecht,x,http://objects.library.uu.nl/reader/index.php?obj=1874-389916&lan=nl#page//60/16/60/60166039114677892319744235130972162822.jpg/mode/1up,
208,[1917],2,03 - UITHUIZEN 2,3,Top. Inrichting,,1916,1917,,,,,,Schaal van 10000 Meter,,,2,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/tweede_editie/03 Uithuizen-2.jpg,-,,,,,,,
10,[1888],1,03 - UITHUIZEN 3,3,Top. Inrichting,1887,,1888,,,,,,Schaal van 10000 Meters,,,1,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/03 Uithuizen-3.jpg,KAART: *VII*.B.a.21,920126955,randen geplastificeerd,G7301028 (volgnummer met potlood genoteerd),Geografisch Instituut Utrecht,x,http://objects.library.uu.nl/reader/index.php?obj=1874-389916&lan=nl#page//29/87/81/29878188555566028947960254957486869540.jpg/mode/1up,
209,[1917],2,03 - UITHUIZEN 3,3,Top. Inrichting,,1916,1917,,,,,,Schaal van 10000 Meter,,,2,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/tweede_editie/03 Uithuizen-3.jpg,-,,,,,,,
378,[1946],3,03 - UITHUIZEN OOST,3,,,1946,,,,,,,,Algemeene Dienst Rijkswaterstaat,Topografische Dienst,3,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/derde_editie/03 Uithuizen-Oost.jpg,-,,,,,,,
486,1960,4,03 - UITHUIZEN OOST,3,,,1959,,1960,,,,,,Rijkswaterstaat Directie Algemene Dienst,Topografische Dienst,4,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vierde_editie/03 Uithuizen-Oost.jpg,-,,,,,,,
701,1975,5,03 - UITHUIZEN OOST,3,directie Waterhuishouding en Waterbeweging,,1974,,1975,,,,,,afdeling Waterstaatskartografie,Topografische Dienst,5,TRUE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vijfde_editie/03 Uithuizen-Oost-1.jpg,-,,,,,,,
702,1975,5,03 - UITHUIZEN OOST - bijkrt.h.w.,3,directie Waterhuishouding en Waterbeweging,,,,1975,,,,,,afdeling Waterstaatskartografie,Topografische Dienst,5,FALSE,FALSE,TRUE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vijfde_editie/03 Uithuizen-Oost-2.jpg,-,,,,,,,
703,1975,5,03 - UITHUIZEN OOST - bijkrt.w.e.,3,directie Waterhuishouding en Waterbeweging,,,,1975,,,,,,afdeling Waterstaatskartografie,Topografische Dienst,5,FALSE,TRUE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vijfde_editie/03 Uithuizen-Oost-3.jpg,-,,,,,,,
377,[1946],3,03 - UITHUIZEN WEST,3,,,1946,,,,,,,,Algemene Dienst Rijkswaterstaat,"firma P.J. Mulder en Zoon, Leiden",3,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/derde_editie/03 Uithuizen-West.jpg,-,,,,,,,
485,[1955],4,03 - UITHUIZEN WEST,3,,,1955,,,,,,,,"Rijkswaterstaat, Directie Algemene Dienst en Waterhuishouding","J.J. Groen & Zn. N.V., Leiden",4,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vierde_editie/03 Uithuizen-West.jpg,-,,,,,,,
698,1975,5,03 - UITHUIZEN WEST,3,directie Waterhuishouding en Waterbeweging,,1974,,1975,,,,,,afdeling Waterstaatskartografie,Topografische Dienst,5,TRUE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vijfde_editie/03 Uithuizen-West-1.jpg,-,,,,,,,
699,1975,5,03 - UITHUIZEN WEST - bijkrt.h.w.,3,directie Waterhuishouding en Waterbeweging,,,,1975,,,,,,afdeling Waterstaatskartografie,Topografische Dienst,5,FALSE,FALSE,TRUE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vijfde_editie/03 Uithuizen-West-2.jpg,-,,,,,,,
700,1975,5,03 - UITHUIZEN WEST - bijkrt.w.e.,3,directie Waterhuishouding en Waterbeweging,,,,1975,,,,,,afdeling Waterstaatskartografie,Topografische Dienst,5,FALSE,TRUE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vijfde_editie/03 Uithuizen-West-3.jpg,-,,,,,,,
379,[1947],3,04 - VLIELAND,4,,,1947,,,,,,,,Algemene Dienst Rijkswaterstaat,"firma P.J. Mulder en Zoon, Leiden",3,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/derde_editie/04 Vlieland.jpg,-,,,,,,,
11,[1868],1,04 - VLIELAND 1,4,Min. v. Oorl. Top. Bur.,,,1868,,,,,,Schaal van 10000 Ellen,,,1,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/04 Vlieland-1.jpg,KAART: *VII*.B.a.21,920126955,randen geplastificeerd,G7301029 (volgnummer met potlood genoteerd),Geografisch Instituut Utrecht,x,http://objects.library.uu.nl/reader/index.php?obj=1874-389916&lan=nl#page//66/42/20/66422012657366574958815166204738393042.jpg/mode/1up,
210,[1917],2,04 - VLIELAND 1,4,Top. Inrichting,,1916,1917,,,,,,Schaal van 10000 Meter,,,2,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/tweede_editie/04 Vlieland-1.jpg,-,,,,,,,
12,[1868],1,04 - VLIELAND 2,4,Min. v. Oorl. Top. Bur.,,,1868,,,,,,Schaal van 10000 Ellen,,,1,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/04 Vlieland-2.jpg,KAART: *VII*.B.a.21,920126955,randen geplastificeerd,,Geografisch Instituut Utrecht,x,http://objects.library.uu.nl/reader/index.php?obj=1874-389916&lan=nl#page//92/73/63/92736374947175097705753394993101023358.jpg/mode/1up,
211,[1917],2,04 - VLIELAND 2,4,Top. Inrichting,,1916,1917,,,,,,Schaal van 10000 Meter,,,2,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/tweede_editie/04 Vlieland-2.jpg,-,,,,,,,
488,1966,4,04 - VLIELAND OOST,4,,,1966,,1966,,,,,,Rijkswaterstaat Directie Algemene Dienst,Topografische Dienst,4,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vierde_editie/04 Vlieland-Oost.jpg,-,,,,,,,
487,1966,4,04 - VLIELAND WEST,4,,,1966,,1966,,,,,,Rijkswaterstaat Directie Algemene Dienst,Topografische Dienst,4,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vierde_editie/04 Vlieland-West.jpg,-,,,,,,,
13,[1873],1,05 - HARLINGEN 1,5,Top. Bur.,,,1873,,,,,,Schaal van 10000 Meters,,,1,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/05 Harlingen-1.jpg,KAART: *VII*.B.a.21,920126955,randen geplastificeerd,G7301031 (volgnummer met potlood genoteerd),Geografisch Instituut Utrecht,x,http://objects.library.uu.nl/reader/index.php?obj=1874-389916&lan=nl#page//16/98/80/169880359134329552505401969732134384427.jpg/mode/1up,
212,[1915],2,05 - HARLINGEN 1,5,Top. Inrichting,,1914,1915,,,,,,Schaal van 10000 Meter,,,2,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/tweede_editie/05 Harlingen-1.jpg,-,,,,,,,
14,[1873],1,05 - HARLINGEN 2,5,Top. Bur.,,,1873,,,,,,Schaal van 10000 Meters,,,1,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/05 Harlingen-2.jpg,KAART: *VII*.B.a.21,920126955,randen geplastificeerd,G7301032 (volgnummer met potlood genoteerd),Geografisch Instituut Utrecht,x,http://objects.library.uu.nl/reader/index.php?obj=1874-389916&lan=nl#page//10/21/07/102107061746127009146422249155908704186.jpg/mode/1up,
213,[1915],2,05 - HARLINGEN 2,5,Top. Inrichting,,1914,1915,,,,,,Schaal van 10000 Meter,,,2,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/tweede_editie/05 Harlingen-2.jpg,-,,,,,,,
15,[1873],1,05 - HARLINGEN 3,5,Top. Bur.,,,1873,,,,,,Schaal van 10000 Meters,,,1,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/05 Harlingen-3.jpg,KAART: *VII*.B.a.21,920126955,randen geplastificeerd,G7301033 (volgnummer met potlood genoteerd),Geografisch Instituut Utrecht,x,http://objects.library.uu.nl/reader/index.php?obj=1874-389916&lan=nl#page//13/15/09/131509523591278994437587639338567276080.jpg/mode/1up,
214,[1915],2,05 - HARLINGEN 3,5,Top. Inrichting,,1914,1915,,,,,,Schaal van 10000 Meter,,,2,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/tweede_editie/05 Harlingen-3.jpg,-,,,,,,,
381,[1942],3,05 - HARLINGEN OOST,5,,,1938,,,1942,,,,,Alg. Dienst Rijkswaterstaat,Top. Dienst,3,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/derde_editie/05 Harlingen-Oost.jpg,-,,,,,,,
490,1966,4,05 - HARLINGEN OOST,5,,,1964,,1966,,,,,,Rijkswaterstaat Directie Algemene Dienst,Topografische Dienst,4,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vierde_editie/05 Harlingen-Oost.jpg,-,,,,,,,
706,1974,5,05 - HARLINGEN OOST,5,directie Waterhuishouding en Waterbeweging,,1972,,1974,,,,,,afdeling Waterstaatskartografie,Topografische Dienst,5,TRUE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vijfde_editie/05 Harlingen-Oost-1.jpg,-,,,,,,,
707,1974,5,05 - HARLINGEN OOST - bijkrt.h.w.,5,directie Waterhuishouding en Waterbeweging,,,,1974,,,,,,afdeling Waterstaatskartografie,Topografische Dienst,5,FALSE,FALSE,TRUE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vijfde_editie/05 Harlingen-Oost-2.jpg,-,,,,,,,
708,1974,5,05 - HARLINGEN OOST - bijkrt.w.e.,5,directie Waterhuishouding en Waterbeweging,,,,1974,,,,,,afdeling Waterstaatskartografie,Topografische Dienst,5,FALSE,TRUE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vijfde_editie/05 Harlingen-Oost-3.jpg,-,,,,,,,
380,[1941],3,05 - HARLINGEN SNEEK,[5],,,1941,,,,,,,,Alg. Dienst Rijkswaterstaat,Topografische Dienst,3,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/derde_editie/05 Harlingen-Sneek.jpg,-,,,,,,,
489,1965,4,05 - HARLINGEN WEST,5,,,1964,,1965,,,,,,Rijkswaterstaat Directie Algemene Dienst,Topografische Dienst,4,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vierde_editie/05 Harlingen-West.jpg,-,,,,,,,
704,1972,5,05 - HARLINGEN WEST,5,directie Waterhuishouding en Waterbeweging,,1972,,1972,,,,,,afdeling Waterstaatskartografie,Topografische Dienst,5,TRUE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vijfde_editie/05 Harlingen-West-1.jpg,-,,,,,,,
705,1972,5,05 - HARLINGEN WEST - bijkrt.h.w.,5,directie Waterhuishouding en Waterbeweging,,,,1972,,,,,,afdeling Waterstaatskartografie,Topografische Dienst,5,FALSE,FALSE,TRUE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/vijfde_editie/05 Harlingen-West-2.jpg,-,,,,,,,
16,[1874],1,06 - LEEUWARDEN 1,6,Top. Bur.,,,1874,,,,,,Schaal van 10000 Meters,,,1,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/06 Leeuwarden-1.jpg,KAART: *VII*.B.a.21,920126955,randen geplastificeerd,G7301034 (volgnummer met potlood genoteerd),Geografisch Instituut Utrecht,x,http://objects.library.uu.nl/reader/index.php?obj=1874-389916&lan=nl#page//25/99/73/25997343760915872877908385199205103115.jpg/mode/1up,
215,[1916],2,06 - LEEUWARDEN 1,6,Top. Inrichting,,1913,1916,,,,,,Schaal van 10000 Meter,,,2,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/tweede_editie/06 Leeuwarden-1.jpg,-,,,,,,,
17,[1874],1,06 - LEEUWARDEN 2,6,Top. Bur.,,,1874,,,,,,Schaal van 10000 Meters,,,1,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/06 Leeuwarden-2.jpg,KAART: *VII*.B.a.21,920126955,randen geplastificeerd,G7301035 (volgnummer met potlood genoteerd),Geografisch Instituut Utrecht,x,http://objects.library.uu.nl/reader/index.php?obj=1874-389916&lan=nl#page//11/07/03/110703135120601659406967726504263917993.jpg/mode/1up,
216,[1920],2,06 - LEEUWARDEN 2,6,Top. Inrichting,,1920,,,,,,,Schaal van 10000 Meter,,,2,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/tweede_editie/06 Leeuwarden-2.jpg,-,,,,,,,
18,[1874],1,06 - LEEUWARDEN 3,6,Top. Bur.,,,1874,,,,,,Schaal van 10000 Meters,,,1,FALSE,FALSE,FALSE,2,https://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/waterstaatskaart/geogegevens/raster/eerste_editie/06 Leeuwarden-3.jpg,KAART: *VII*.B.a.21,920126955,randen geplastificeerd,G7301036 (volgnummer met potlood genoteerd),Geografisch Instituut Utrecht,x,http://objects.library.uu.nl/reader/index.php?obj=1874-389916&lan=nl#page//14/59/97/145997402694361136576062710160871780724.jpg/mode/1up,
