Nr;Titel;Herz.;Bew.;Uitgave;Editie;W.krt;Bijkrt, w.e.;Bijkrt, h.w.;Fys. Kenm.;Stempels;Prov.; op bladindex;Signatuur;Opm.;Kartob.;Bewaard;;
9;Helder 1;;1867;;1;;;;;Topographische Inrichting;Nugter;;LL.03513gk;Schaal op 10,000 Ellen, Helder bestaat uit halfbladen i.p.v. kwartbladen;;Nugter;;0
9;Helder 1;;1867;1909;1;;;;Op linnen;Topographische Inrichting;Nugter;;LL.03513gk;Schaal op 10,000m;Nee;Nugter;;1
9;Helder 2;;1867;;1;;;;Op linnen;Topographische Inrichting;Nugter;;LL.03513gk;Schaal op 10,000 Ellen, verzuurd;;Nugter;;0
9;Helder 2;;1867;;1;;;;;;Nugter;;LL.03513gk;Schaal op 10,000m;Nee;Nugter;;1
9;Den Helder;1940;;;3;;;;;;Nugter;;LL.03515gk;;;Nugter;;0
9;Den Helder-West;1965-1966;;1967;4;;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;;LL.03516gk;Achterzijde bedrukt;;VU;;0
9;Den Helder-West;1965-1966;;1967;4;;;;;;Nugter;;;Achterzijde bedrukt;;kan weg;;0
9;Den Helder-Oost;1966;;1967;4;;;;;;VU;;LL.03515gk;;;kan weg;;0
9;Den Helder-Oost;1966;;1967;4;;;;;;Nugter;;LL.03516gk;;;Nugter;;0
9;Den Helder;1972;1983;1984;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03517gk;;;kan weg;;0
9;Den Helder;1972;1983;1984;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
9;Den Helder;1972;1983;1984;5;Ja;;;;;Nugter;Ja;LL.03517gk;;;Nugter;;0
9;Den Helder;1972;1983;1984;5;;;H;;;Nugter;Ja;LL.03517gk;;;Nugter;;0
10;Sneek 1;;1873;;1;;;;;Waterstaats kartografie Documentatie;Nugter;;LL.03513gk;;;Nugter;;0
10;Sneek 1;1922;;;2;;;;;;Nugter;;LL.03514gk;;;Nugter;;0
10;Sneek 2;;1873;;1;;;;;Topographische Inrichting;Nugter;;LL.03513gk;Eerder gerestaureerd;;Nugter;;0
10;Sneek 2;1923;;;2;;;;;;Nugter;;LL.03514gk;;;Nugter;;0
10;Sneek 3;;1873;;1;;;;Op linnen;Topographische Inrichting;Nugter;;LL.03513gk;;;Nugter;;0
10;Sneek 3;1922;;;2;;;;;;Nugter;;LL.03514gk;;;Nugter;;0
10;Sneek 4;;1873;;1;;;;Op linnen;Topographische Inrichting;Nugter;;LL.03513gk;;;Nugter;;0
10;Sneek 4;1922;;;2;;;;;;Nugter;;LL.03514gk;;;Nugter;;0
10;Sneek-Staveren;1948;;;3;;;;;;VU;;LL.03514gk;;;kan weg;;0
10;Sneek-Staveren;1948;;;3;;;;;;Nugter;;LL.03515gk;;;Nugter;;0
10;Sneek-West;1967;;1968;4;;;;;Topografische dienst bibliotheek ;Nugter;Ja;LL.03516gk;;;Nugter;;0
10;Sneek-West;1967;;1968;4;;;;;;VU;Ja;LL.03515gk;VU collectie bevat ook Oost 1968;;kan weg;;0
10;Sneek-West;1972;;1972;5;Ja;;;;;Nugter;Ja;;;;kan weg;;0
10;Sneek-West;;;1972;5;;W;;;;Nugter;Ja;;;;kan weg;;0
10;Sneek-West;;;1972;5;;;H;;Topografische dienst bibliotheek ;Nugter;Ja;LL.03517gk;;;Nugter;;0
10;Sneek-West;1972;;1972;5;Ja;;;;;VU;Ja;LL.03517gk;;;VU;;0
10;Sneek-West;;;1972;5;;W;;;;VU;Ja;LL.03517gk;;;VU;;0
10;Sneek-West;;;1972;5;;;H;;;VU;Ja;;;;kan weg;;0
10;Sneek-West;1972;;1972;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03518gk;;;kan weg;;0
10;Sneek-West;;;1972;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
10;Sneek-West;;;1972;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
10;Sneek Oost;1947-1949;;;3;;;;;;Nugter;Ja;LL.03515gk;;;Nugter;;0
10;Sneek Oost;1971;;1972;5;Ja;;;;;Nugter;Ja;LL.03517gk;;;Nugter;;0
10;Sneek Oost;;;1972;5;;;H;;Topografische dienst bibliotheek ;Nugter;Ja;LL.03517gk;;;Nugter;;0
10;Sneek Oost;1971;;1972;5;Ja;;;;;VU;Ja;LL.03516gk;;;kan weg;;0
10;Sneek Oost;;;1972;5;;;H;;;VU;Ja;;;;kan weg;;0
10;Sneek Oost;1971;;1972;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03518gk;;;kan weg;;0
10;Sneek Oost;;;1972;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;Kan weg;;0
11;Heerenveen 1;;1876;;1;;;;;Polytechnische school;Nugter;;LL.03513gk;Duplicaat stempel, label P.T. Nugter achterzijde;;Nugter;;0
11;Heerenveen 1;1920;;;2;;;;;;Nugter;;LL.03514gk;;;Nugter;;0
11;Heerenveen 2;1875;1877;;1;;;;;Technische hoogeschool waterbouwkunde afd. weg en waterbouwkunde;Nugter;;LL.03513gk;Label P.T. Nugter achterzijde;;Nugter;;0
11;Heerenveen 2;1921;;;2;;;;;;Nugter;;LL.03514gk;;;Nugter;;0
11;Heerenveen 3;1875;1877;;1;;;;;Polytechnische school;Nugter;;LL.03513gk;;;Nugter;;0
11;Heerenveen 3;1920;;;2;;;;;;Nugter;;LL.03514gk;;;Nugter;;0
11;Heerenveen 4;1921;;;2;;;;;;Nugter;;LL.03514gk;;;Nugter;;0
11;Heerenveen West;1947;;;3;;;;;;Nugter;Ja;LL.03515gk;Achterzijde bedrukt;;Nugter;;0
11;Heerenveen West;1947;;;3;;;;;;VU;Ja;LL.03513gk;Achterzijde bedrukt;;kan weg;;0
11;Heerenveen-West;1967;;1968;4;;;;;;Nugter;Ja;;;;Nugter;;0
11;Heerenveen-West;1967;;1968;4;;;;;;VU;Ja;;;;kan weg;;0
11;Heerenveen-West;1973-1974;;1975;5;Ja;;;;;Nugter;Ja;LL.03517gk;;;Nugter;;0
11;Heerenveen-West;;;1975;5;;W;;;;Nugter;Ja;LL.03517gk;;;Nugter;;0
11;Heerenveen-West;;;1975;5;;;H;;;Nugter;Ja;;;;Nugter;;0
11;Heerenveen-West;1973-1974;;1975;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
11;Heerenveen-West;;;1975;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;;;;kan weg;;0
11;Heerenveen-West;;;1975;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;;;;kan weg;;0
11;Heerenveen-West;1973-1974;;1975;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03518gk;;;kan weg;;0
11;Heerenveen-West;;;1975;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
11;Heerenveen-West;;;1975;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
11;Heerenveen-Oost;1947-1948;;;3;;;;;;Nugter;Ja;LL.03515gk;Achterzijde bedrukt;;Nugter;;0
11;Heerenveen-Oost;1947-1948;;;3;;;;;;VU;Ja;LL.03515gk;Achterzijde bedrukt;;kan weg;;0
11;Heerenveen-Oost;1964-1965;;1966;4;;;;;;Nugter;Ja;;Achterzijde bedrukt;;kan weg;;0
11;Heerenveen-Oost;1964-1965;;1966;4;;;;;;VU;Ja;LL.03516gk;;;VU;;0
11;Heerenveen-Oost;1975;;1977;5;Ja;;;;;Nugter;Ja;LL.03517gk;Achterzijde bedrukt;;Nugter;;0
11;Heerenveen-Oost;;;1977;5;;W;;;Topografische dienst bibliotheek ;Nugter;Ja;LL.03517gk;;;Nugter;;0
11;Heerenveen-Oost;;;1977;5;;;H;;;Nugter;Ja;;Breder formaat;;kan weg;;0
11;Heerenveen-Oost;1975;;1977;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;Achterzijde bedrukt;;kan weg;;0
11;Heerenveen-Oost;;;1977;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;;;;kan weg;;0
11;Heerenveen-Oost;;;1977;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;;Breder formaat;;kan weg;;0
11;Heerenveen-Oost;1975;;1977;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03518gk;Achterzijde bedrukt;;kan weg;;0
11;Heerenveen-Oost;;;1977;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
11;Heerenveen-Oost;;;1977;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03517gk;Breder formaat;;VU;;0
12;Assen 1;1885;1887;;1;;;;Op linnen;Topographische Inrichting;Nugter;;LL.03513gk;Sporen van verzuring;;Nugter;;0
12;Assen 1;1885;1887;;1;;;;;Technische hoogeschool waterbouwkunde afd. weg en waterbouwkunde;Nugter;;LL.03513gk;Dubbele kaart, licht verzuurd, eerder gerestaureerd;;Nugter;;0
12;Assen 1;1920;;;2;;;;;;Nugter;;LL.03514gk;Sporen van verzuring;;Nugter;;0
12;Assen 2;1885;1887;;1;;;;;Technische hoogeschool waterbouwkunde afd. weg en waterbouwkunde;Nugter;;LL.03513gk;;;Nugter;;0
12;Assen 2;1920;;;2;;;;;;Nugter;;LL.03514gk;;;Nugter;;0
12;Assen 3;1885;1886;;1;;;;;Technische hoogeschool waterbouwkunde afd. weg en waterbouwkunde;Nugter;;LL.03513gk;;;Nugter;;0
12;Assen 3;1917;1920;;2;;;;;;Nugter;;LL.03514gk;"Kaartbibliografie stelt herzien in 1920 -> kaart stelt 1917 ; Bewerking geldt als herziening. Klopt dus.";;Nugter;;0
12;Assen 4;1885;1886;;1;;;;;Technische hoogeschool waterbouwkunde afd. weg en waterbouwkunde;Nugter;;LL.03513gk;;;Nugter;;0
12;Assen 4;1921;;;2;;;;Op linnen;Topographische Inrichting;Nugter;;LL.03514gk;;;Nugter;;0
12;Assen (West);1942;;;3;;;;;;Nugter;;LL.03515gk;"Kaartbibliografie stelt herzien in 1947 -> kaart stelt 1942, Achterzijde bedrukt; MD dus?maar  NA zegt ook '42.";;Nugter;;0
12;Assen-West;1955-1956;;;4;;;;;;Nugter;Ja;LL.03516gk;Opmerking: OUD, Achterzijde bedrukt;;Nugter;;0
12;Assen-West;1955-1956;;;4;;;;;Kaartenverzameling geografisch instituut Vrije Universiteit;VU;Ja;;;;kan weg;;0
12;Assen-West;1975;;1977;5;Ja;;;;;Nugter;Ja;LL.03517gk;Achterzijde bedrukt;;Nugter;;0
12;Assen-West;;;1977;5;;W;;;;Nugter;Ja;;;;kan weg;;0
12;Assen-West;;;1977;5;;;H;;;Nugter;Ja;;;;kan weg;;0
12;Assen-West;1975;;1977;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;Achterzijde bedrukt;;kan weg;;0
