"Id";"serie_editie";"serie";"serietekst";"nr";"titel";"auteurs";"editie";"jaar metingen";"jaar van uitgave";"linksonder";"rechtsonder";"uitgever";"Drukker";"schaal";"Stempel TIArchief";"StempelTIKaartenarchief";"StempelBiblPontonniers";"StempelKVGIVU";"StempelKaartenzaal";"Stempel";"opmerkingen";"Fyskenm";"provenance";"aanwezig in ub"
31;"EERSTE HERZIENING";"3";"IJssel en Zwarte Water / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische Inrichting, 1877-1909]. – 1 kaartserie in 20 bladen : lithografie ; diverse formaten.";"02";"Genne";;;;1906,00;;;;;"Schaal 1:10.000";;;;;;;;;;
32;"TWEEDE HERZIENING";"3";"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten.";"02";"Maastricht ";;"Derde uitgave";;1933,00;;;;;"Schaal 1:10.000";;;;;;;;;;
33;"EERSTE DRUK";"3";"Kaart van de rivier de Ijssel van Westervoort tot Kampen : in twintig bladen benevens twee supplementaire bladen / vervaardigd op last van Zijne Excellentie den Minister van Binnenlandsche Zaken, onder directie van den fungerenden Hoofd-Ingenieur en van den Ingenieur bij de Algemeene Dienst van den Waterstaat L.J.A. van der Kun en R. Musquetier. – Schaal 1:10.000. - [Delft : Algemeene Dienst van den Waterstaat, 1840-1846] ([Delft] : Topographisch Bureau, Ministerie van Oorlog). – 1 serie in 27 bladen : lithografie ; diverse formaten.";"02";"Rhede";;;"1843";1844,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft : Departement van Oorlog)";"Schaal 1:10.000";;;;;;;;;"Nugter";"Ja"
34;"TWEEDE HERZIENING";"4";"IJssel, Ganzendiep en Goot, Zwarte Water / [Rijkswaterstaat]. - [Tweede herziening]. - [’s-Gravenhage : Staatsdrukkerij, 1927-1933]. (’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst). – 1 serie in 35 bladen : lithografie ; diverse formaten.";"02";"Reden (Noord)";;;"1927";1927,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Top. Inr.)";"Schaal 1:10.000";;;;"Kaartenverzameling Geografisch Instituut Vrije Universiteit";;;"Foto-Litho";;;"Ja"
35;"TWEEDE HERZIENING";"4";"IJssel, Ganzendiep en Goot, Zwarte Water / [Rijkswaterstaat]. - [Tweede herziening]. - [’s-Gravenhage : Staatsdrukkerij, 1927-1933]. (’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst). – 1 serie in 35 bladen : lithografie ; diverse formaten.";"02";"Reden (Zuid)";;;;1927,00;;;;;"Schaal 1:10.000";;;;;;;;;;
37;"EERSTE DRUK";"4";"Kaart van de rivier de Boven Maas van Vise tot Woudrichem : in vierendertig bladen / opgemeten en vervaardigd door den eersten landmeter bij de Algemeene dienst van den Waterstaat E. Olivier Dz. ; op last van zijne excellentie den minister van Binnenlandsche Zaken, onder directie van den fungerenden Hoofd-Ingenieur en van den Ingenieur in Algemeene Dienst van den Waterstaat L.J.A. van der Kun en R. Musquetier.  – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1849-1856 ([Delft] : Topographisch Bureau en Drukkerij van het Departement van Oorlog). – 1 serie in 38 bladen : lithografie; diverse formaten.";"02";"Maastricht";;;"1846-1847";1847,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Ministerie van Oorlog,Topographisch Bureau)";"Schaal 1:10.000";;;;;;;"KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel""";;"Nugter";"Ja"
38;"EERSTE DRUK";"5";"Kaart van de rivieren de Oude en Nieuwe Merwede en de killen in het Bergsche Veld : in negen bladen / op last van Zijne Excellentie den Minister van Binnenlandsche Zaken, onder directie van den Hoofd-Inspecteur van den Waterstaat L.J.A. van der Kun ; opgemeten en vervaardigd door de landmeters bij de Algemeene dienst van den Waterstaat E. Olivier Dz. En F.F.J. Machen. – 1:10.000. - [Delft : Algemeene Dienst van den Waterstaat, 1857-1858 ([Delft] : Topographisch Bureau en Drukkerij van het Departement van Oorlog). – 1 serie in 910 bladen, in kleur : lithografie; diverse formaten.";"02";"Hooge Zwaluwe";;;"1858";1858,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Ministerie van Oorlog,Topographisch Bureau)";"Schaal 1:10.000";;"Topographische Inrichting Kaartenarchief";;;;;"LB in potlood: 1049c";;"Nugter";"Ja"
39;"EERSTE DRUK";"6";"Kaart van de rivier de Hollandsche Ijssel van Gouda tot IJsselmonde : in drie bladen / op last van Zijne Excellentie den Minister van Binnenlandsche Zaken, onder directie van den Hoofd-Inspecteur van den Waterstaat L.J.A. van der Kun ; opgemeten en vervaardigd door de landmeters bij de Algemeene dienst van den Waterstaat E. Olivier Dz. En J. Leijds. - [Delft : Algemeene Dienst van den Waterstaat, 1859-1860] (Delft : Topographisch Bureau en Drukkerij van het Departement van Oorlog). – 1 kaartserie in 3 bladen, in kleur : lithografie ; diverse formaten.";"02";"Nieuwerkerk";;;;1860,00;;;;;"Schaal 1:10.000";;;;;;;;;;
40;"EERSTE HERZIENING";"6";"Oude Maas, Amer, Hollandsch Diep en Haringvliet / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische Inrichting, 1884-1886]. – 1 serie in 13 bladen : lithografie ; diverse formaten.";"02";"Capelle (’s-Grevelduins)";;;;1883,00;;;;;"Schaal 1:10.000";;;;;;;;;;
41;"EERSTE HERZIENING";"6";"Oude Maas, Amer, Hollandsch Diep en Haringvliet / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische Inrichting, 1884-1886]. – 1 serie in 13 bladen : lithografie ; diverse formaten.";"02";"Capelle (’s-Grevelduins)";;"Tweede uitgave";;;;;;;"Schaal 1:10.000";;;;;;;;;;
42;"EERSTE HERZIENING";"8";"Hollandsche IJssel / [Rijkswaterstaat]. - Schaal 1:2.500. - [Eerste herziening]. - ['s-Gravenhage : Topographische Inrichting, 1902-1924]. – 1 serie in 15 bladen : lithografie  ; diverse formaten.";"02";"Beijersche Veer";;;;1902,00;;;;;"Schaal 1:2.500";;;;;;;;;;
43;"TWEEDE HERZIENING";"2A";"Hollandsche Ijssel c.a. / [Rijkswaterstaat]. - Schaal 1:5.000. - [’s-Gravenhage : Staatsdrukkerij, 1933-1954] (Delft : Topografische Dienst). – 1 serie in 14 bladen : lithografie ; diverse formaten.";"02";"Moordrecht ";;"Derde uitgave";;1935,00;;;;;"Schaal 1:5.000";;;;;;;;;;
44;"TWEEDE HERZIENING";"2A";"Hollandsche Ijssel c.a. / [Rijkswaterstaat]. - Schaal 1:5.000. - [’s-Gravenhage : Staatsdrukkerij, 1933-1954] (Delft : Topografische Dienst). – 1 serie in 14 bladen : lithografie ; diverse formaten.";"02";"Moordrecht ";;"Vierde uitgave";;1952,00;;;;;"Schaal 1:5.000";;;;;;;;;;
45;"EERSTE HERZIENING";"4 EN 5";"Maas / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische inrichting, 1873-1903]. – 1 serie in 33 bladen : lithografie ; diverse formaten.";"02";"Maastricht";;;;1893,00;;;;;"Schaal 1:10.000";;;;;;;;;;
46;"EERSTE DRUK";"1";"Kaart van de rivieren de Boven Rijn, de Waal, de Merwede, de Oude en een gedeelte van de Nieuwe Maas van Lobith tot Brielle : in twintig bladen benevens twee supplementaire bladen voor de Dordtsche Kil / vervaardigd op last van zijne excellentie den Minister van Binnenlandse Zaken, onder directie van den Hoofd-Ingenieur bij de Algemeene Dienst van den Waterstaat B.H. Goudriaan. – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1830-1835. ([Delft] : het Bureau en de drukkerij van de Directie der Militaire Verkenningen). -  1 kaartserie, in 27 bladen : lithografie ; diverse formaten.";"03";"Nijmegen";;;"1830";1830,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft : Directie der Militaire Verkenningen)";"Schaal 1:10.000";;;;;;;"KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel";;"Nugter";"Ja"
47;"EERSTE HERZIENING";"1";"Herziene kaart van de rivieren Boven Rijn, Waal, Merwede, Noord, Dordsche Kil, Oude Maas, Spui en Nieuwe Maas / [Rijkswaterstaat]. - Schaal 1:10.000. – [Eerste herziening]. -  ['s-Gravenhage : Topografische Inrichting, 1873-1914]. - 1 serie in 29 bladen : lithografie ; diverse formaten";"03";"Nijmegen";;;;1873,00;;;;;"Schaal 1:10.000";;;;;;;;;;
48;"TWEEDE HERZIENING";"1";"Bovenrijn, Waal, Boven-en Beneden Merwede, Dordsche Kil, Oude Maas, Noord, Brielsche Nieuwe Maas / [Rijkswaterstaat]. – Schaal 1:10.000. – [Tweede herziening]. - [’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst, 1914-1961]. – 1 serie in 35 bladen : lithografie ; diverse formaten.";"03";"Kekerdom";;;;1920,00;;;;;"Schaal 1:10.000";;;;;;;;;;
49;"TWEEDE HERZIENING";"1";"Bovenrijn, Waal, Boven-en Beneden Merwede, Dordsche Kil, Oude Maas, Noord, Brielsche Nieuwe Maas / [Rijkswaterstaat]. – Schaal 1:10.000. – [Tweede herziening]. - [’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst, 1914-1961]. – 1 serie in 35 bladen : lithografie ; diverse formaten.";"03";"Kekerdom ";;"Vierde uitgave";;1960,00;;;;;"Schaal 1:10.000";;;;;;;;;;
50;"EERSTE DRUK";"2";"Kaart van de rivieren de Boven en Neder-Rijn, de Lek en de Nieuwe Maas, van Lobith tot Brielle : in twintig bladen, benevens twee supplementaire bladen voor den Oude-Rijn en voor de Noord / vervaardigd op last van Zijne Excellentie den Minister van Binnenlandsche Zaken, onder directie van den Hoofd-Ingenieur bij de Algemeene Dienst van den Waterstaat B.H. Goudriaan. – Schaal 1:10.000. - [Delft] : Algemeene Dienst van de Waterstaat, 1830-1842. ([Delft] : Topographisch Bureau en Drukkerij van het Deptartement van Oorlog). - 1 serie in 25 bladen : lithografie ; diverse formaten.";"03";"Angeren";;;"1834";1834,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft : Directie der Militaire Verkenningen)";"Schaal 1:10.000";;;;;;;"KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel""";;"Nugter";"Ja"
51;"EERSTE HERZIENING";"2";"Boven Rijn, Neder Rijn, Lek, Nieuwe Maas, Scheur en Nieuwe Waterweg / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische Inrichting, 1873-1907]. - 1 serie in 32 bladen : lithografie ; verschillende formaten.";"03";"Angeren";;;;1876,00;;;;;"Schaal 1:10.000";;;;;;;;;;
