Id ,serie_editie     ,serie ,serietekst                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,nr   ,titel                                                                                                                                                                                                                                                                                                                                                                                ,auteurs                                                                                                                                                                                 ,editie                               ,jaar metingen           ,jaar van uitgave,linksonder                                                ,rechtsonder          ,uitgever                                                 ,Drukker                                                 ,schaal         ,Stempel TIArchief                 ,StempelTIKaartenarchief                 ,StempelBiblPontonniers               ,StempelKVGIVU                                              ,StempelKaartenzaal                                  ,Stempel                    ,opmerkingen                                                                                                                                                                            ,Fyskenm                                        ,provenance,aanwezig in ub,image                                                                                                                       ,Opmerkingen PV
470,EERSTE DRUK      ,2     ,"Kaart van de rivieren de Boven en Neder-Rijn, de Lek en de Nieuwe Maas, van Lobith tot Brielle : in twintig bladen, benevens twee supplementaire bladen voor den Oude-Rijn en voor de Noord / vervaardigd op last van Zijne Excellentie den Minister van Binnenlandsche Zaken, onder directie van den Hoofd-Ingenieur bij de Algemeene Dienst van den Waterstaat B.H. Goudriaan. – Schaal 1:10.000. - [Delft] : Algemeene Dienst van de Waterstaat, 1830-1842. ([Delft] : Topographisch Bureau en Drukkerij van het Deptartement van Oorlog). - 1 serie in 25 bladen : lithografie ; diverse formaten."                                            ,S1   ,Aardt                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                        ,                                     ,1834                    ,"1834,00"       ,                                                          ,                     ,['s-Gravenhage : Staatsuitgeverij]                       ,(Delft : Departement van Oorlog)                        ,Schaal 1:10.000,Topographische Inrichting Archief ,Topographische Inrichting Kaartenarchief,                                     ,                                                           ,                                                    ,                           ,Op linnen                                                                                                                                                                              ,                                               ,Nugter    ,Ja            ,eerste_druk/Serie_2/S1 Aardt. 1834.jpg                                                                                      ,
476,EERSTE DRUK      ,2     ,"Kaart van de rivieren de Boven en Neder-Rijn, de Lek en de Nieuwe Maas, van Lobith tot Brielle : in twintig bladen, benevens twee supplementaire bladen voor den Oude-Rijn en voor de Noord / vervaardigd op last van Zijne Excellentie den Minister van Binnenlandsche Zaken, onder directie van den Hoofd-Ingenieur bij de Algemeene Dienst van den Waterstaat B.H. Goudriaan. – Schaal 1:10.000. - [Delft] : Algemeene Dienst van de Waterstaat, 1830-1842. ([Delft] : Topographisch Bureau en Drukkerij van het Deptartement van Oorlog). - 1 serie in 25 bladen : lithografie ; diverse formaten."                                            ,S2   ,Alblasserdam                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                        ,                                     ,1833                    ,"1833,00"       ,                                                          ,                     ,['s-Gravenhage : Staatsuitgeverij]                       ,(Delft : Departement van Oorlog)                        ,Schaal 1:10.000,Topographische Inrichting Archief ,Topographische Inrichting Kaartenarchief,                                     ,                                                           ,                                                    ,                           ,Op linnen                                                                                                                                                                              ,                                               ,Nugter    ,Ja            ,eerste_druk/Serie_2/S2 Alblasserdam. 1833.jpg                                                                               ,
436,TWEEDE HERZIENING,1     ,"Bovenrijn, Waal, Boven-en Beneden Merwede, Dordsche Kil, Oude Maas, Noord, Brielsche Nieuwe Maas / [Rijkswaterstaat]. – Schaal 1:10.000. – [Tweede herziening]. - [’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst, 1914-1961]. – 1 serie in 35 bladen : lithografie ; diverse formaten."                                                                                                                                                                                                                                                                                                                                  ,15A  ,Alblasserdam                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                        ,Vierde uitgave                       ,                        ,"1947,00"       ,                                                          ,                     ,                                                         ,                                                        ,Schaal 1:10.000,                                  ,                                        ,                                     ,                                                           ,                                                    ,                           ,                                                                                                                                                                                       ,                                               ,          ,              ,tweede_herziening/Serie_1/15A Alblasserdam (vierde uitgave). 1947.jpg                                                       ,
437,VASSEN-HERZIENING,1     ,"Boven-Rijn, Waal, Boven- en Beneden Merwede, Noord, Dordtsche Kil, Oude Maas, Spui, Brielsche Nieuwe Maas / [Rijkswaterstaat]. – Schaal 1:10.000. – [’s-Gravenhage : Topografische Inrichting, 1920-1931]. – 1 serie in 12 bladen : lithografie ; diverse formaten."                                                                                                                                                                                                                                                                                                                                                                               ,15a  ,Alblasserdam Noord                                                                                                                                                                                                                                                                                                                                                                   ,                                                                                                                                                                                        ,                                     ,                        ,1931            ,                                                          ,                     ,                                                         ,                                                        ,Schaal 1:10.000,                                  ,                                        ,                                     ,                                                           ,                                                    ,                           ,                                                                                                                                                                                       ,                                               ,          ,              ,-                                                                                                                           ,Voorlopig jaar toegevoegd
438,VASSEN-HERZIENING,1     ,"Boven-Rijn, Waal, Boven- en Beneden Merwede, Noord, Dordtsche Kil, Oude Maas, Spui, Brielsche Nieuwe Maas / [Rijkswaterstaat]. – Schaal 1:10.000. – [’s-Gravenhage : Topografische Inrichting, 1920-1931]. – 1 serie in 12 bladen : lithografie ; diverse formaten."                                                                                                                                                                                                                                                                                                                                                                               ,15a  ,Alblasserdam Zuid                                                                                                                                                                                                                                                                                                                                                                    ,                                                                                                                                                                                        ,                                     ,                        ,1931            ,                                                          ,                     ,                                                         ,                                                        ,Schaal 1:10.000,                                  ,                                        ,                                     ,                                                           ,                                                    ,                           ,                                                                                                                                                                                       ,                                               ,          ,              ,vassen_herziening/Serie_1/15a Alblasserdam Zuid.jpg                                                                         ,Voorlopig jaar toegevoegd
369,TWEEDE HERZIENING,3     ,"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten."                                                                                                                                                                                                                                                                                                                                                          ,25   ,Alphen                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                                                                                                                        ,Derde uitgave                        ,                        ,"1950,00"       ,                                                          ,                     ,                                                         ,                                                        ,Schaal 1:10.000,                                  ,                                        ,                                     ,                                                           ,                                                    ,                           ,                                                                                                                                                                                       ,                                               ,          ,              ,tweede_herziening/Serie_3/25 Alphen (derde uitgave). 1950.jpg                                                               ,
253,EERSTE HERZIENING,2     ,"Boven Rijn, Neder Rijn, Lek, Nieuwe Maas, Scheur en Nieuwe Waterweg / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische Inrichting, 1873-1907]. - 1 serie in 32 bladen : lithografie ; verschillende formaten."                                                                                                                                                                                                                                                                                                                                                                                        ,14   ,Ameide                                                                                                                                                                                                                                                                                                                                                                               ,                                                                                                                                                                                        ,                                     ,                        ,"1883,00"       ,                                                          ,                     ,                                                         ,                                                        ,Schaal 1:10.000,                                  ,                                        ,                                     ,                                                           ,                                                    ,                           ,                                                                                                                                                                                       ,                                               ,          ,              ,eerste_herziening/Serie_2/14 Ameide. 1883.jpg                                                                               ,
220,TWEEDE HERZIENING,2     ,"Pannerdensch Kanaal, Neder-Rijn, Lek, Nieuwe Maas, Scheur, Nieuwe Waterweg / [Rijkswaterstaat]. – Schaal 1:5.000 / 1:10.000. – [Tweede herziening]. - [’s-Gravenhage : Staatsdrukkerij, 1914-1961] (’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst). – 1 serie in 31 bladen : lithografie ; diverse formaten."                                                                                                                                                                                                                                                                                                            ,12   ,Ameide                                                                                                                                                                                                                                                                                                                                                                               ,Kartering RijkswaterstaatMeetkundige DienstDelft                                                                                                                                        ,Vierde uitgave                       ,1956-1957               ,"1959,00"       ,                                                          ,                     ,'s-Gravenhage : Rijksstaatsdrukkerij en Uitgeverijbedrijf,(Delft  : Reproductie: Top. Dienst)                     ,Schaal 1:5.000 ,                                  ,                                        ,                                     ,                                                           ,Bibliotheek Kaartenzaal Vrije Universiteit          ,                           ,"Foto-Litho, in kleur"                                                                                                                                                                 ,                                               ,          ,Ja            ,tweede_herziening/Serie_2/12 Ameide (vierde uitgave). 1959.jpg                                                              ,
221,VASSEN-HERZIENING,2     ,"Pannerdensch Kanaal, Neder-Rijn, Lek, Nieuwe Maas, Scheur en Nieuwe Waterweg / [Rijkswaterstaat]. – Schaal 1:10.000. - [’s-Gravenhage : Topografische Inrichting, 1920-1931?]. – 1 serie in 10 bladen ; lithografie ; diverse formaten."                                                                                                                                                                                                                                                                                                                                                                                                           ,12   ,Ameide (Oost)                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                        ,                                     ,1921-1922               ,"1924,00"       ,                                                          ,                     ,['s-Gravenhage : Staatsuitgeverij]                       ,(Delft  : Top. Inr.)                                    ,Schaal 1:10.000,                                  ,                                        ,                                     ,Kaartenverzameling Geografisch Instituut Vrije Universiteit,                                                    ,                           ,Foto-Litho                                                                                                                                                                             ,                                               ,          ,Ja            ,vassen_herziening/Serie_2/12 Ameide (oost).jpg                                                                              ,
222,VASSEN-HERZIENING,2     ,"Pannerdensch Kanaal, Neder-Rijn, Lek, Nieuwe Maas, Scheur en Nieuwe Waterweg / [Rijkswaterstaat]. – Schaal 1:10.000. - [’s-Gravenhage : Topografische Inrichting, 1920-1931?]. – 1 serie in 10 bladen ; lithografie ; diverse formaten."                                                                                                                                                                                                                                                                                                                                                                                                           ,12   ,Ameide (West)                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                        ,                                     ,1921-1922               ,"1924,00"       ,                                                          ,                     ,['s-Gravenhage : Staatsuitgeverij]                       ,(Delft  : Top. Inr.)                                    ,Schaal 1:10.000,                                  ,                                        ,                                     ,Kaartenverzameling Geografisch Instituut Vrije Universiteit,                                                    ,                           ,                                                                                                                                                                                       ,                                               ,          ,Ja            ,vassen_herziening/Serie_2/12 Ameide (west).jpg                                                                              ,
